,Review,Departments
0,trouser stuff good shirt poor quality,Product Quality
1,not leather jacket magazine quality not per description ,Product Quality
2,fragrance short shelf life months started develop unpleasant rapid smell disappointing invest fragrance go bad quickly expected better quality longevity ,"Product Quality, Shipping"
3,satisfied product good quality product,Product Quality
4,look ordered received ,"Shipping, Sales"
5,good delivery time pages book not good quality fulfill purpose ,"Product Quality, Shipping"
6,ordered two size instead got one smaller size material used good belt fit well hence giving star rating ,"Product Quality, Sales"
7,poor installation,Technical Support
8,purchased football two days aback item seems detective press ball passes air solve although no return solve forwarded query instant chat even call tender phone number mentioned receipt nobody responded finally going return product ,"Customer Service, Product Quality, Sales"
9,first box not come plastic pencil tip yellowish bent side connect pad not work can believe bought face apple product ,Product Quality
10,received damaged would not connect charge complete rip apple would not replace aerial number would not come actual apple system ,"Product Quality, Shipping"
11,think used,General
12,got fridge amazed even hours installing fridge not working not even cold inside dark delivered damaged product would advise everyone not get electronics webster cut never know product works not not know haste getting replaced customer service dark not helpful never attend calls responds days good luck ,"Customer Service, Product Quality, Technical Support"
13,good not glowing dark shown ,General
14,way ordered received still satisfied sound quality not quite good still according price range decent,"Product Quality, Shipping, Sales"
15,low quality ,Product Quality
16,good product not cotton soft,Product Quality
17,took amount never delivered product seller face dishonest please avoid seller completely requested refund already,Product Quality
18,ordered one problems sticking rest good keep good work thank ,"Technical Support, Sales"
19,not proper size mentioned,General
20,low battery time one earned not working properly voice also poor quality ,Product Quality
21,bakwasss left piece not work voice quality poor waiting money would suggest friends please not try,Product Quality
22,bad quality excepted ,Product Quality
23,beautiful not comfortable cut wear long,General
24,bad quality much expensive type quality st experience v v bad ,Product Quality
25,good not much good one bag zip,General
26,bad experience order large size receive large extra large medium size need replaced ,Sales
27,box received not sealed like everything seal apple pen also comes curtis not wrap not sealed open box literally papers feel second took not like amazon disappointed ,Shipping
28,per amount product ,Product Quality
29,nice product nice sound qualify timing little less,Product Quality
30,value money works fine good quality adjustable ,"Product Quality, Sales"
31,horrible experience making fool not ever buy broken no return policy disappointed dark ply stop making fools people,"Product Quality, Sales"
32,unfortunately newer model pencil compatible curtis not pads not mine funny can buy airport pair literally anything though go haste returning item donna buy pen thing actual reasonable price ,"Product Quality, Sales"
33,quality stuff really poor not know could bear st wash ,Product Quality
34,good quality shoes little disappointment rider delivery late little bit overall product awesome recommended seller,"Product Quality, Shipping"
35,size not accurate not happy purchase,Sales
36,product totally disgusting not even stop little whole water leakage ,Product Quality
37,cap shampoo ordered different one shown picture received black opening cap instead pink though packing good,"Shipping, Sales"
38,liked colours attractive smell neutral one order pump stuck cap not opening ,Sales
39,not good plastic bad smell not good quality not like ,Product Quality
40,face seller rude behaviour disappointed ,Customer Service
41,little bit expensive overall good,General
42,bad quality palate broken,Product Quality
43,poor quality stuff waste money ,Product Quality
44,packing good works fine well shampoo not fragrance ,General
45,disgusting second experience buying cycle dark bad experience time delivered wrong color cycle accessories incomplete wheel cups cycle missing without cycle useless waste rubles bad ,Sales
46,item not shown double sided,Product Quality
47,nothing good ,General
48,good late delivery,Shipping
49,shoes great size slightly big,General
50,received item not work several people look took necessary steps work not work ,"Product Quality, Shipping"
51,soft material recommended one size big,Product Quality
52,timely delivered quality product poor one day use became like land oaks fabric worn,Product Quality
53,nice accessory pad pro honestly can without personally not going use much thought would not see use not artist something honest pen galaxy note amazing apple pencil honest opinion get use tireless magnetic keyboard came pad pro case pencil sending mine back getting refund,Shipping
54,pathetic overpriced product not go ram actual mb ram hacked andros software extremely baggy absolute waste money,"Product Quality, Technical Support, Sales"
55,bad thing no lights showing low light,General
56,received parcel day in upset stars small size glow mineutraltes disappointed ,Shipping
57,better buy is handsfree quality extra price,"Product Quality, Sales"
58,order delayed one week anyone going order delivery definitely late wrote many times balance make continues follow late delivery issue ,"Shipping, Technical Support, Sales"
59,works coolly glio,General
60, stopped working second day still good,General
61,please not buy product seller note non return able can not return remote buttons not working works please not buy seller not good bad product cable small white box light connection poor little force applied comes yellow color button not work well red blue poor product sad called dark many times not buy,"Customer Service, Product Quality, Sales"
62,bad quality ,Product Quality
63,plastic quality high otherwise good ,Product Quality
64,thanks dark quality thorax sa fro ta par tiny past the ti,Product Quality
65,not support coolly models words ,Customer Service
66,pen not work contracted apple assistance informed pen old defective would not connect pad pro nd generation even hours help apple sent pen back ,"Customer Service, Product Quality"
67,received bit late usual dark delivery good packing good product,"Product Quality, Shipping"
68,like can write pad like pen not like can use write pad ,General
69,poor quality product waste money not serve purpose packing company claims many layers reality layer one plastic sheet inside no padded stuff even simple cotton extra cloth poor pathetic not buy ,"Product Quality, Sales"
70,spending expecting best arrived today requires attach pad pro charge came expensive fugue case attached pencil charging pen slide slightest movement magnet weak worse not work even relatively new pad pro not work phone pads returning ordering original pencil can charge via cable can protect pad axis not great cases many gimmicks apple products far many updated make things worse utf ,"Product Quality, Shipping, Technical Support, Sales"
71,not working ply can give another,Product Quality
72,extremely useless product not anything waste money sad receive ,Product Quality
73,order delivered days dot see difference applying ,Sales
74, star brick cap hardened spill package,Shipping
75,packing open customer never satisfied condition would believe unused not satisfied ,General
76,love product since dec th recently started looking charge not know pencil not good one ,Product Quality
77,received damaged scraped roller safe delivery,"Product Quality, Shipping"
78,quality bad can not hold anything g strips get gripped ,Product Quality
79,am writing review axis not like suit buy disappointed one wash dress still much inch still one wash not buy waisted ,Sales
80,products quality good products not use full,Product Quality
81,recently purchased pad pro gen genetic status pen fell love pen quit inside weeks since loved pen feature decided go ahead spend get thought would much superior product disappointed apple pen shaped poorly not round pen not roll easily hands pen also heavy compared writing utensils genetic pen purchased apple pen not give ability close pages using wipe feature instead free finger thumb perform function instead apple pen performance wee bit better genetic status simple purposes difference negligible double tap sideboard charging features not worth swap comfort genetic status gave expected much apple could return apple pen purchase genetic status axis not would ,"Product Quality, Sales"
82,stuff concerned okay not ,General
83,due bad weather received box wet condition luckily fabric cover safe intact found wardrobe described issue faced fixing plastic not properly cropped inside thankful assembled completely ,"Shipping, Technical Support"
84,belt ok not good pictures finishing cheap,General
85,wastage money,Product Quality
86,first really good colours point issue tape behind not stick table keeps falling hour half roll dead blue light meaning blue ones not work,Technical Support
87,not cleaning teeth said seller clean teeth product not no difference,"Customer Service, Product Quality"
88,size small toy,General
89,thanks dark team received order sound light system not working also plastic quality not good,"Product Quality, Shipping, Sales"
90,sound little bit sharp,General
91,got received broken one going return ,"Product Quality, Shipping"
92,average quality product ,Product Quality
93,product fine color different,Product Quality
94,freshness mark bit late night delivery ,Shipping
95,different picture bad quality recommend no one can buy waste money,"Product Quality, Sales"
96,one perfect light blue colour not working ,Product Quality
97,box open pen looks used paid full price not sure would send something used not okay going return get apple store ,"Customer Service, Shipping, Sales"
98,good yes nice button not glow,General
99,ordered sage oil send rosary oil professional ethical or second huge mistake totally un professional,"Shipping, Technical Support, Sales"
100,shoes not perfect got size small finishing also not perfect damage one side returning shoes not satisfied product ,Product Quality
101,light nice total lights lights plugs issue ply replace plug,Technical Support
102,not good cooked great difficulty ,Product Quality
103,looking old one damage packing no cell nosepin inside no protective packing material used ,Product Quality
104, rd class inverted never buy axis not winter noise compression loud bought units brand using strongly disappointed,"Marketing, Sales"
105,blue less specifically not work,Customer Service
106,quality ave compared price ordered another sweatshirt lower price dark select clot clot better terms quality ,"Product Quality, Sales"
107,pins pressed received package total waste money ,Shipping
108,useless product no result ,Product Quality
109,not satisfied product,Product Quality
110,warranty card given last year warranty expired dec however purchased may refrigerator not cooling anything ,Sales
111,colour good small size look like toy compare price including delivery charges expensive not good ,"Shipping, Sales"
112,expired products sent disappointed,Product Quality
113,waste money not even work charged three times yet still not work ,General
114,product good colourful lights bright colours accidentally broke ,Product Quality
115,disappointed last time ordered black good quality ,"Product Quality, Sales"
116,okay not highly recommended,General
117,little bit damage body sound quality quite fine price range delivered received time thanks seller,"Product Quality, Shipping, Sales"
118,worst seller defeated product waste money,Product Quality
119,order black brown receive black not good seller serve,Sales
120,sent wrong size ordered sent size tiny feet total wast money hurting ,Sales
121,annoying bad quality,Product Quality
122,shame dark making peoples fool package includes nothing sanitizer quality rd class ,"Product Quality, Shipping"
123,asked send brown red mentioned screenshot reminded almost times still sent wrong ones ,Shipping
124,size not fit quality good packing nice ,Product Quality
125,product good work not wide shown pictures still job recommend ,Product Quality
126,bad experience,General
127,worst apple pencil year not work anymore pure garage not buy anymore,Sales
128,lights started felling two days low quality,Product Quality
129,not bad not heel cover feel uncomfortable cause balance,General
130,best far reasonable ,General
131,stars defective,Product Quality
132,good sound charging time not working calling time use movie music time ,"Customer Service, Product Quality"
133, size small,General
134,love straightened packing box cheap also box fold,General
135,boiling water turn yellow color not recommended buy bad experience first time dark ,Sales
136,overall quality good got wrong size beck misunderstanding otherwise percent recommended,Product Quality
137,utility product good quality isn ,Product Quality
138,rd time ordered not satisfied unpleasant smell no expire date mean product old expired ,"Product Quality, Sales"
139,order blue size ok order size red twice account sent wrong size measurement can seen pick quality good,"Product Quality, Sales"
140,quality not good price ok thanks dark ,"Product Quality, Sales"
141,seems dry normally oats gets soft mind cooking took long time still felt undercooked taste not pleasant ,General
142,bought apple pencil pad pro inch surprised chagrined cannot used twitching apes making resort thumb instead pencil drawing plan status also purchased amazon superior every way ,Sales
143,potatoes good market buyer sweet dark fresh not sweet also item per web good see ,"Product Quality, Marketing, Sales"
144,attractive look sex slight tight recommended dark seller,General
145,shirt incredible great problems like sticks printed getting shirt colour also shedding days,Technical Support
146,not work suzuki every wagon useless no user guide use also phone not pair device can see recognize pad th gen sees not vehicle ,Technical Support
147,mere celebration not working properly ,Product Quality
148,packing not good product good show pictures,Product Quality
149,nice small size,General
150,shown picture unfortunately one damaged ,Product Quality
151,not high quality product gets job note ,Product Quality
152,good winter,General
153,truly disappointed seller could added barley hanna flour make least wheat no everyone quick bucks ,Shipping
154,compression ac tripping axis not axis not making cooling impossible ,General
155,product good quality blinds evenly skin good consistency packing also good small almost like finger can buy sample,"Product Quality, Sales"
156,overall better price week fabric started too come can see picture ,Sales
157,seems like used article bad experience ,General
158,lights not proper light little tiny strip work strip length iss totally useless behavior guns fixing spotted problem really disappointed ,"Customer Service, Technical Support"
159,given local product away packing also packing also broken not satisfied product need refund,Product Quality
160,not charging went also give voucher also,General
161,not worth ,General
162,cheek plastic useful,General
163,sounds quality good mid not bed mark ,Product Quality
164,connected old gen pad baggy device shape seems hard grip ,Technical Support
165,poor service two hand frees ordered one delivered spasm guns,"Customer Service, Sales"
166,product good it size not comfortable change axis not book extra large size need size,Product Quality
167,seller so cooperative quality normal,Product Quality
168,stars size much small ,General
169,average almost turned sides days use,General
170,pen perfect always if see buy stuff online far good,Sales
171,waste money not comfortable got fold whenever sit,General
172,sizes incorrect,General
