Sentiments,Reviews,language
positive,great original product with great discount,en
negative,trouser's stuff is good but shirt is very poor in quality,en
negative,it is not a leather jacket this is ragazine.quality is not per a description.,en
positive,Same as picture really good fabric and i received it earlier than the given date i really like it❤️,en
negative,"This fragrance had a very short shelf life. After a few months, it started to develop an unpleasant, rancid smell. It was disappointing to invest in a fragrance only to have it go bad so quickly. I expected better quality and longevity.",en
positive,was sutibel and perfect the tape was stixky and did not fall off ,en
positive,excellent packing good experience.. same as shown in pic.. i love that..i full recommended to buy without fear..,en
negative,I'm satisfied from your product it is a good quality product,en
negative,look what i ordered and what i received.,en
negative,"Good delivery time, pages of book is not that good quality but fulfills the purpose.",en
positive,Such a great product and a very antique piece.,en
positive,Thanks alot for beautiful stars,en
negative,"Ordered two of the same size. Instead I got one smaller size. But the material used is very good, and the belt fit in well. Hence giving 3 star rating.",en
positive,Fresh potatoes ,en
negative,poor installation,en
negative,"i have purchased this football two days aback. The item seems detective because when we press the ball , it passes out air from its volve, although it should have "" no return volve"". For this , i forwarded a query on instant Chat, Q&A , and even call on sender's phone number mentioned on the receipt but nobody responded . now finally i am going to return this product.",en
negative,"First, the box did not come in plastic. The pencil tip is yellowish... and bent to the side. It will connect to your iPad, but will not work! I can’t believe I bought a fake Apple product!",en
negative,received it damaged. It won’t connect or charge. Complete rip off. And Apple won’t replace it because it’s serial number won’t come up in the actual Apple system.,en
negative,I think it is used,en
negative,Got the fridge and I am amazed because even after 24 hours of installing it the fridge is not working. Not even 1% of it is cold inside. Daraz has delivered me a damaged product. I would advise everyone not to get electronics from websites cuz u never know the product works or not. Dont know the hassle now of getting it replaced as the customer service of daraz is not very helpful. They never attend calls and responds after so days. Good luck to me !,en
negative,they're good but not glowing in the dark as shown!,en
negative,By the Way I ordered i12 and recieved i18 but still satisfied with i18 its sound quality is not quite good but still according to its price range DECENT,en
negative,low quality ,en
negative,good product but not cotton soft,en
negative,They took the amount but never delivered the product. Seller is fake and dishonest. Please avoid this seller completely. I have requested for the refund already,en
negative,"I ordered 3 of them and one had problems with sticking but the rest is all good .
keep up the good work ...
Thank you",en
negative,not proper size as I mentioned,en
negative,"Low battery time,  one earpod is not working properly and voice is also of poor quality ",en
negative,bakwasss.left pice does not work and the voice quality is poor .over All just waisting of money.i would suggest to all my friends please do not try,en
negative,very bad quality as I were excepted....,en
negative,they are beautiful but not comfortable cnt wear them for Long,en
positive,Very good experience and very happy and satisfied with the product and an amazing customer service... Definitely will buy again...,en
positive,Very good.. Same as my order. Delivery on time ..quality was also good. Recomonded,en
positive,Awsome product highly recommended,en
positive,best quality ,en
positive,every vegetable is fresh 👍👍,en
negative,bad quality too much expensive (for this type of quality) 1st experience (v.v.v.v bad ),en
positive,it is really good,en
negative,good not too much good one bag is out off zip,en
negative,very bad experience I was order large size and receive 3 Large 1 extra large & 1 medium size I need to be replaced it.,en
positive,amazing product totally recommending,en
positive,"order received on time, everything was fresh. ",en
positive,Premium Quality Thanks Again Daraz ,en
negative,"The box I received was not sealed, like how everything is seal from Apple. The Pen itself also comes in a certain wrap and it was not sealed.This was an open box, literally the papers feel out the second I took it out. Not like amazon at all, very disappointed.",en
positive,product is great all were orignal everything works well! recommended seller !,en
positive,very nice seller it was pin packed love u all,en
negative,As per amount  the product is 👍 ,en
negative,Nice Product Nice Sound and qualify but timing is little less,en
positive,"MA-SHA-ALLAH
Vegetables Received in Good Condition 👍✔️👍
✔️ Freshness: 10/10
✔️ Packaging: 10/10
✔️ Delivery:      10/10
Jazak-Allah!",en
negative,"value for money . works fine 
 good quality and adjustable.",en
negative,horrible experience.just they are making fool.dont ever buy this.it was broken.no return policy.very disappointed..daraz plz stop making fools to people,en
negative,"Unfortunately this newer model $100 pencil is only compatible with certain iPads (not mine). Funny how you can buy any AirPods and pair them with literally anything, though. Now I have to go through the hassle of returning this item. I’m just gonna buy a $30 pen, it’ll do the same thing for it’s actual reasonable price.",en
negative,the quality of stuff is really poor. I do not know it could bear 1st wash..,en
positive,"Good vegetables in reasonable price 👍, recommended ",en
positive,"very nice item, quality of glass, my child so happy to find. ",en
positive,very good experience with seller. Got the same thing that I ordered thank you daraz,en
positive,Happy Customer. Ordering again. Thanks Daraz,en
positive,Premium peanut butter with original taste. I bet you can’t find better than this. I tried several brands and they all failed to deliver this taste. Its pure so you use it anwhere you like including smoothies Although it’s expensive,en
positive,"Book & Printing is Great, Also Packing is good and safe with bubble wrap 👍",en
negative,"Good Quality shoes.
but little disappointment from the rider delivery late a little bit.
but overAll the product is Awesome.
Recommended Seller",en
positive,very good product ,en
positive,good packing.. I have to clean it after opening.. they are dirty..overall good product,en
positive,good quality.nice handfree,en
positive,alo frsh quality ,en
negative,size is not accurate. Not happy with my purchase,en
positive,thanks daraz same very nice,en
positive,perfect Received in a 10/10 condition.,en
negative,This product is totally disgusting. not even stop little whole of water leakage.   ,en
positive,"it is really Nice 🙂🥰🥰
This product is very 😊
I thought it will small
But....
This is very good product 💯😊",en
negative,The cap of the shampoo I ordered is different from the one shown in the picture. I received it with black opening cap instead of pink. though packing was good,en
positive,best quality of product 🥇 thanks daraz n thanks seller ,en
positive,Good quality and working product .,en
positive,Good quality and excellent shoes in this price range. I bought 3 more shoes for my nephews after receiving my parcel. Seller service is also satisfactory.,en
negative,"I liked its colours, they are attractive and smell is just neutral, but one of them was out of order, its pump is just stuck in its cap and is not opening..",en
negative,Not good plastic and have a bad smell of it and not good quality of it i do not like it,en
positive,awesome quality must buy,en
negative,fake seller with rude behaviour very disappointed -10/10,en
positive,Product is perfect ....same as I expected Your cooperation ,en
positive,Very cute shirt and the stuff material is also good..Perfect in size Thnk you so much Really loved it,en
negative,little bit expensive but overall good,en
positive,Thank you very much for the very good thing i saw. ,en
negative,Bad quality .Palette was broken,en
positive,Fresh and good quality. Highly recommended.. ,en
negative,poor quality stuff. waste of money.,en
negative,packaging was good . and it works fine as well but shampoo does not have any fragrance .,en
negative,disgusting. this is my second experience of buying cycle from daraz but very bad experience this time you delivered wrong color and cycle accessories are incomplete.wheel cups of cycle are missing. without that this cycle is useless and waste of my rupees. very bad.,en
positive,i received my order these airpods are too good voice is also good tahnxx daraz,en
positive,same as it shows thankx I love that 💕,en
positive,very nice products 👍👍👍 I like ,en
positive,best quality 👌 thanks ,en
positive,Good Product ,en
negative,Item was not the same as shown. It was to be double sided,en
negative,nothing good ,en
positive,"good product,good quantity",en
negative,good but late delivery,en
negative,the shoes are great but the size is slightly big,en
positive,Amazing product ... delivery was soo fast. Delivered with in 2 days.... Nd amazing quality product. Thnkx seller nd Daraz... 100% recommended seller,en
negative,Received this item and it does not work. Had several people look at it and took all the necessary steps for it to work and it does not work at all!,en
negative,its soft material recommended but one size was big,en
negative,timely delivered. Quality of product is very poor.after one day use they became like landa soaks.febric worn,en
negative,it is a nice accessory and all for the 2018 iPad pro but you honestly can do without it. I personally am not going to use it that much as I thought I would. I just do not see the use if I'm not a artist or something. To be honest my S-Pen on my Galaxy Note 5 was more amazing than the Apple Pencil 2. That's just my honest opinion. I get more use out of my wireless and magnetic keyboard that came with my iPad pro case than the Pencil. I will be sending mine back and getting a refund,en
negative,"its a pathetic, overpriced product. it does not have 4gb ram. in actual it has 512mb ram, hacked android software and is extremely laggy. absolute waste of money",en
positive,great Quality stickers & the seller is realy coperative Recomended,en
negative,so bad thing  there have no lights its showing so low light,en
negative,I received my parcel in 2 day .but im very upset because the stars are very small in size and they glow for just few mineutraltes ... I'm very disappointed...,en
negative,"Better buy 100 Rs handsfree , its same quality with Extra Price",en
negative,But order was delayed for one week. If anyone is going to order then delivery will be definitely late. I wrote many times to dawlance and make continues follow up for the same. Late Delivery is the only issue.,en
negative,only works on corolla gli,en
negative,1 of 3 stopped working on second day other 2 r still good,en
positive,"Excellent packaging, super good product, after 5 time use I am giving this honest review, thanks dawlance and thanks daraz",en
negative,please do not buy this product seller has done it non return able and now I can not return it it is remote buttons are not working it works on its own please donot buy this seller is not good very bad product the cable of the small white box and the light connection is very poor a little force is applied and it comes out the yellow color button donot work as well as the red and blue very poor product 😤😡 I am very sad I have called daraz many times donot buy,en
positive,same as shown in picture,en
positive,thank you 💕💕 so much seller and daraz ,en
negative,very bad quality ,en
negative,"plastic quality should be high , otherwise good👍🏻",en
negative,thanks daraz  quality m thora sa frq ta.par itny paso m thk ti,en
negative,"it does not support Corolla up to 2006 models and down words,",en
negative,"My pen did not work. When I contacted Apple for assistance they informed me that the pen was old, and defective. It would not connect with my iPad Pro (2nd Generation) even after hours of help from Apple. I sent the pen back.",en
positive,"Fully satisfied with product quality and price, ship on time Thanks to seller thanx daraz",en
negative,received a bit late then usual daraz delivery.. Good packaging and good product,en
negative,I like that I can write n my iPad like a pen. What  I don’t like is I can only use it only to write on my I pad.,en
negative,Poor Quality product. Waste of money Didn’t serve the purpose . The packaging and company claims it has many layers but in reality they just layered one plastic sheet inside that’s it no padded stuff or even a simple cotton or any extra cloth . Poor pathetic don’t buy .,en
negative,"Spending the most, expecting the best. But it arrived today and REQUIRES you to attach it to an iPad Pro to charge. So, off came the expensive ZUGUI Case to attached the pencil for charging. The pen slide off with the slightest movement, as the magnet is very weak. Worse, it does not work, even with a relatively new iPad Pro! (Will not work with the phone or any other of the 3 iPads I own). I am returning it and ordering the original pencil that you can CHARGE via a cable. I can protect my iPad again with the great casse.  So many gimmicks now with Apple products, and far too many ""updates"" that make things worse. WTF?",en
negative,its not working plz can u give me another,en
positive,very soft material i love it,en
negative,Extremely useless product does not do anything at all waste of money very sad to receive it,en
negative,the order is delivered in 4 days.but i dot see a difference after applying it.,en
positive,"I have received my order, it is working perfectly, Satisfied with the product quality and service, keep it up, Thankyou",en
negative,3 star because Brock cap of hardener and spill in package,en
positive,my wife ordered this brush and she likes it... welldone seller. recommended to all,en
negative,Packing was open. Customer is never satisfied with this condition. How would I believe that it’s unused. Not satisfied at all.,en
negative,"I love your product, I've had it since Dec. 5th. Just recently it started loosing its charge and I do not know if it is me or if the pencil is not a good one.",en
negative,Received damaged both scraper and roller because of unsafe delivery,en
negative,"The quality was so BAD, can not hold anything from more than 2 kg. Strips get ripped out.",en
positive,💯 Recommended,en
positive,"Good quality product in a very reasonable price. Packaging was secure. Also, seller sent a cute note with it which is a very good gesture by him. I am completely satisfied with my purchase. Thank you FunBug & Daraz 🤝🏻",en
negative,iam writing my review again..I like this suit and I buy it but I am so so disappointed.. for one Wash the dress has been shill to much 2inch. it shill after one wash.dont buy this.now for me it is waisted.,en
negative,Products quality was good but products was not so use full,en
negative,"I recently purchased an IPad Pro 3gen, and a generic stylus pen. I fell in love with the pen but it quit inside of 6 weeks. Since I loved the pen feature I decided to just go ahead and spend $125 more to get what I thought would be a much superior product only to be disappointed. The Apple pen is shaped poorly, it is not a round pen so it doesn’t roll easily in my hands.  The pen is also very heavy as compared to most writing utensils, and the generic pen I purchased.  The Apple pen does not give me the ability to close pages using the swipe up feature, instead I have to free up a finger/thumb to perform this function instead.  The Apple pen performance is a wee bit better then generic stylus, but for my simple purposes the difference was negligible. The double tap, and sidebar charging features weren’t worth the swap for comfort generic stylus gave me.  I expected so much more from Apple If I could return the Apple pen and purchase the generic stylus again, I would.",en
positive,Excellent performance and delivery time was also accurate,en
positive,fresh potatoes of good quality highly recommend 💯,en
negative,as for as stuff is concerned just okay not more than that ,en
positive,"Delivered after 7 days and I have collected from daraz office myself, this disappointed me so delivery charges i have paid should be refund",en
positive,Received cycle in all Good. Saler was responsive and cooperative I received gift along with cycle too,en
negative,"Due to bad weather, received the box in wet condition but luckily the fabric cover is safe and intact. Found this wardrobe Same as described. the only issue faced in fixing because the plastic is not properly cropped from inside. But thankfully we assembled it completely.",en
positive,"Awsome product, best sound clear quality.. love it so much 👍",en
positive,excellent quality.... received as shown in the picture....statisfied and happy shopping,en
negative,"belt was just OK not as good as the pictures, finishing was cheap",en
negative,wastage of money,en
positive,good product sound quality perfect,en
negative,"at first it was really good, the colours on point, the Issue I had is the tape behind it does not stick to my table at all it keeps falling down after an hour or so, and now half of the roll has dead blue light meaning the blue ones does not work",en
negative,not cleaning the teeth as said by seller if you clean your teeth by product or not no difference,en
negative,size was so small it is as a toy,en
positive,Very good product. Small and neat and clean. Delivery was fast. Overall i am happy. ,en
positive,Very good and perfect quality handsfree i ever used. Thank you draz mall,en
positive,i got my order two days ago sorry for late review. these headphones are hundred percent original and have deep bass recommended ,en
negative,Thanks to Daraz Team I received my order. But sound & light system not working and also plastic quality is not good,en
negative,gsound is little bit sharp,en
negative,i just got received broken one going to return it,en
positive,working as advertised. Recommend,en
negative,Average quality product.,en
negative,product is fine but color is different,en
positive,"perfect , nice quality , light weight and very reasonable price",en
negative,Freshness is up to the mark... but just bit late night delivery.,en
negative,so different from picture ....bad quality i recommend no one can buy it ....waste of money,en
positive,It was amazing ,en
